Time [Hr:Min:Sec],Neph [ug/cm^3]
16:39:40,11.529
16:39:50,8.642
16:40:00,8.648
16:40:10,11.52
16:40:20,8.64
16:40:30,11.525
16:40:40,11.539
16:40:50,8.673
16:41:00,8.646
16:41:10,14.427
16:41:20,11.542
16:41:30,11.527
16:41:40,14.413
16:41:50,11.518
16:42:00,8.654
16:42:10,11.568
16:42:20,8.655
16:42:30,8.651
16:42:40,11.535
16:42:50,14.406
16:43:00,11.526
16:43:10,11.537
16:43:20,14.422
16:43:30,11.535
16:43:40,14.422
16:43:50,8.646
16:44:00,8.644
16:44:10,11.537
16:44:20,17.218
16:44:30,17.309
16:44:40,11.527
16:44:50,11.533
16:45:00,11.524
16:45:10,11.53
16:45:20,25.94
16:45:30,8.648
16:45:40,11.522
16:45:50,14.429
16:46:00,11.542
16:46:10,11.539
16:46:20,11.525
16:46:30,17.293
16:46:40,11.525
16:46:50,8.647
16:47:00,11.529
16:47:10,8.653
16:47:20,11.522
16:47:30,8.645
16:47:40,11.635
16:47:50,14.406
16:48:00,11.541
16:48:10,11.534
16:48:20,11.524
16:48:30,14.396
16:48:40,8.652
16:48:50,11.526
16:49:00,8.644
16:49:10,11.524
16:49:20,8.654
16:49:30,8.645
16:49:40,8.644
16:49:50,8.652
16:50:00,8.638
16:50:10,8.644
16:50:20,8.641
16:50:30,11.526
16:50:40,11.533
16:50:50,8.655
16:51:00,8.643
16:51:10,8.655
16:51:20,8.656
16:51:30,8.642
16:51:40,11.527
16:51:50,8.647
16:52:00,8.647
16:52:10,8.658
16:52:20,8.66
16:52:30,8.647
16:52:40,11.533
16:52:50,11.531
16:53:00,11.505
16:53:10,11.534
16:53:20,8.648
16:53:30,8.651
16:53:40,11.531
16:53:50,8.661
16:54:00,23.096
16:54:10,11.531
